,appln_id,appln_abstract_lg,appln_abstract
73,35952655,en,"PURPOSE:To improve a designing characteristic by forming a display box having a display surface to a U-shaped section and housing a photoconductor and a reflection plate into this box. CONSTITUTION:The display box 6 is formed to the U-shaped section and internally houses the photoconductor 1 and the reflection plate 4. The display box has the display surface to be irradiated with the light transmitted to the front surface of the photoconductor 1. The refracted light entering from the top end face 2 of the photoconductor 1 and passed to the rear surface 5 of the photoconductor 1 is efficiently reflected to the front surface by the photoconductor 1. There is, therefore, no frame uncomfortable to the eyes around the display surface and the simple constitution is obtd. Only the frameless display plate appears to glitter. The designing characteristic of a building space is enhanced in this way."
74,35952656,en,"PURPOSE:To provide an electrophotographic sensitive body having high sensitivity and excellent durability. CONSTITUTION:A photosensitive layer containing an azo compound represented by a formula is provided on a conductive base material. In the formula, R<1> represents hydrogen atom, a halogen atom, alkyl group, alkoxy group, aryl group, amino group, cyano group, nitro group, or sulfoxide group, and A represents a coupler residue having acceptor property."
75,35952657,en,"PURPOSE:To produce high-purity 2-amino-4,6-dimethoxypyrimidine useful as a synthetic intermediate for herbicide in high yield by simple operation and post-treatment. CONSTITUTION:4,6-Dimethoxy-2-methanesulfonylpyrimidine and ammonia are subjected to disproportionation in a water solvent at 0-100 deg.C preferably 5-70 deg.C to form 2-amino-4,6-dimethoxypyrimidine and the prepared crystal is separated by filtration. The mother liquid of filtrate is reused as it is as a solvent for the next lot and the ammonia source. Since a by-product has high water solubility, the objective high-purity compound can be obtained in high yield only by filtration operation."
76,35952658,en,"PURPOSE:To easily manage dimensions of an erroneous erasure prevention plug and a plug container part and to securely maintain an effect of temporary fixing at an assembling time even when the dimensions are somewhat irregularly changed. CONSTITUTION:A slit 10 is formed in an erroneous erasure prevention plug 9 to exert an action of a spring through an elastic deformation. The prevention plug 9 is elastically deformed from an elastic piece 11 and accommodated in a slide container part 6, and temporarily fixed to the slide container part 6 by the spring effect of the plug 9 itself."
77,35952659,en,"PURPOSE: To surely pay the communication charge to both an information server and the user by allowing a charge imposing device mounted on a terminal equipment according to pay data added to added value information to call a deputy collection device to allow the deputy collection device to collect the charge automatically. CONSTITUTION: An external storage device 12 stores pay data relating to pay information received and processed by a terminal equipment. A deputy collection line number IP telephone number and date information are written as the pay data and a charging control section 11 reads the date information of the pay data at all times respectively. Then clock information managed by the section 11 and each date information are collated, the coincident pay data are extracted, the written IP telephone number is dialed from a network control section 13 to connect the control section 11 to a deputy collection device. The control section 11 calculates the monetary amount written as the pay data with the charge in the unit of connection time of the deputy collection device to discriminate it till what time is the line is to be connected to collect in deputy the monetary amount of the pay data and controls the network control section 13 for the time to keep the line connection."
78,35952660,en,"PROBLEM TO BE SOLVED: To perform an inexpensive matching for mutually connecting optical equipments. SOLUTION: An elastic pad 45 is interposed between opticalequipments 40, 41. The light from a spot 42 becomes hardly reflected in the boundary, and the superposition of lights from a plurality of spots in a detector 42 is reduced. The refractive index of the elastic pad 45 is set to the middle value of the refractive indexes of both the optical equipments, and the surface is wettable with the contact surfaces of the optical equipments."
79,35952661,en,"PROBLEM TO BE SOLVED: To easily perform a selecting operation in the case of selecting a desired mode among various modes, to display the explanation of the mode to be selected so that the selection contents may be clearly understandable, and to make it possible for a new user to clearly understand and select the display. SOLUTION: A display part 42 is constituted of a non-scroll display part 43 and a display part 44 including a scroll display part. In the non-scroll display part 43, each photographic mode previously set in accordance with the selected exposure mode is dot-displayed, and each of a driving mode, a focusing mode and a flashing mode is set as a photographic mode. The display part 44 is constituted of an exposure mode selecting scroll display part 45, an indicator display part 46 and a display part 47 for displaying the explanation of the selected mode, in the display part 45, the selected exposure mode is presented at the central part, and also, the central display and two kinds of display before and behind the central display are displayed in a dot matrix state, and where the scroll display is positioned in the whole scroll is displayed by the indicator display part 46."
80,35952662,en,"PROBLEM TO BE SOLVED: To simplify the manufacture of an element by suppressing the generation of Barkhausen noise due to the migration of magnetic domains. SOLUTION: This magnetoresistance effect element is constituted by stacking a lower electrode layer 2, a base film 3, an antiferromagnetic layer 4, a magnetism fixation layer 5 which is inferior in soft magnetic characteristics, a nonmagnetic metal layer 6, a magnetization free layer 7 which is superior in soft magnetic characteristics, and an upper electrode layer 8 in this order on a substrate 1. The manufacture is simple because of this structure and while the plane shape of the base film 3, antiferromagnetic layer 4, and magnetization fixation layer 5 are rectangular, the planar shapes of the nonmagnetic metal layer 6, the magnetization free layer 7, and the upper electrode layer 8 are circular or elliptical and can be put in a rectangular area, so that the area of the magnetization fixation layer 5 becomes larger than that of the magnetization free layer 7, and the tolerance of the magnetism of the magnetism fixation layer 5 with respect the variations of an external magnetic field is improved. The magnetization free layer 7 is circular or elliptical, so that magnetic domains are neither generated nor moved, and suppresses Barkhausen noise, so that the need for providing a magnetic domain control film is eliminated."
81,35952663,en,"PROBLEM TO BE SOLVED: To reduce working time in the case of connecting a cable between communication controllers. SOLUTION: ISDN communication controllers 11 and 12 automatically identify an interface in the case of allocating a communication channel through a negotiation based on a common line signal. First of all, the ISDN communication controller 11 always transmits an interface identification number, which is individually allocated to each interface inside an interface group, while storing it in a frame and transmits a communication channel number while storing the interface identification number together at the time of negotiation for allocating the communication channel. When activating the interface, the ISDN communication controller 12 extracts the interface identification number, stores that number and further monitors it at all the time and when there is any change, the number is updated. Afterwards, the interface is automatically identified based on the interface identification number stored at the time of negotiation for allocating the communication channel."
82,35952664,en,"PROBLEM TO BE SOLVED: To provide an air-conditioning device capable of improving durability of a sensor and accurately detecting an oil amount. SOLUTION: Oil separators 12a and 12b and compressors 11a and 11b are intercoupled through constant oil return pipes 21a and 21b. Sensors Sa and Sb to detect an oil level M in an oil separator to return oil through the constant oil return pipes are situated in the oil separators 12a and 12b. When it is detected by the sensors that an oil amount in the oil separators 12a and 12b is an oil amount lower than the oil level M, it is estimated that an oil amount in an outdoor unit is insufficient and oil from ether outdoor unit is recovered."
83,35952666,en,"PURPOSE:To prevent a first insulating film, which is a gate insulating film, from being broken when an impurity is introduced by an ion-implantation method by a method wherein a second insulating film having a breakdown strength lower than that of the first insulating film is provided between a first conductor film for gate electrodes and a second conductor film for a mask, which is used at the time of formation of source and drain regions. CONSTITUTION:A p-type well 2, a field oxide film 3 and a gate oxide film (first insulating film) 4 are formed on an n<-> semiconductor substrate 1. Then, after a poly Si film (first conductor film) 5 for gate electrodes and an Si nitride film (second insulating film) 10 are adhered in order, those films are patterned. After then, an Si oxide film 6 is formed on the side surface parts of the film 5 by a high-temperature heat treatment and an Al film (second conductor film) 7 for a mask is adhered to perform a patterning. The films 5 and 7 come into contact to each other through the film 10 on the film 3. Thereby, a charge stored in the film 5 by an ion-implantation breaks the film 10 of a thin film thickness and having a low breakdown strength to escape to the film 7 and the film 4 can be prevented from electrostatic breakdown."
84,35952667,en,"PURPOSE:To display a high-definition image without spoiling the resolution of an input image signal by driving picture element display cells in order according to an expansion image signal obtained by dividing an image signal by phases. CONSTITUTION:The image signal is supplied to an image display plate 110 where image display cell 120 are arrayed in a matrix to display an image. The input image signal 41 is divided into K phases and an (i)th (1<=i<=k) phase is an image signal wherein (i+jXk)th (j=0, 1, 2...) picture element values are expanded by the time of (k) picture elements of the input image signal 41 in order and arrayed; and those are used as expansion image signals an (i)th expansion image signal drives an (i+jXk)th (j=0, 1, 2...) picture element display cell 120 of the image display plate 110. Thus, the high-definition image can be displayed without spoiling the resolution of the input image."
85,35952668,en,"PURPOSE:To make it possible to surely kill harmful microbe in the entire dust collecting chamber by a method wherein an air stream diffusing body, which is arranged between a dust collecting filter and on the suction side of an electrically operated fan, and closes a part of an air passage to the suction side of the electrically operated fan and makes an air stream in a dust collecting chamber go round, is provided. CONSTITUTION:When thermal disinfection in a dust collecting chamber 18 is conducted, with the lid 13 closed, a connecting tube 82 of a hose 81 is removed from a suction port 51, and a shutter 53 is made to slide forward, and the suction port 51 is closed from the outside. By this shutter 53, an air stream diffusing body 61 is closed through a connecting member 65. Then, when a thermo-switch 7 is turned on, operation of an electrically operated fan is started. Discharged air from the electrically operated fan 31, which becomes a hot air, is circulated from the suction port 51 in a dust collecting bag 22 in the dust collecting chamber 18. Thus, a circulating air stream, which starts from the electrically operated fan 31, passes through the dust collecting chamber 18 and returns to the electrically operated fan 31, is generated, and the temperature of the circulating air stream is raised by passing through the electrically operated fan 31 repeatedly, and the temperature in the dust collecting chamber 18 is raised. By this method, the temperature of dust and dirt which is accumulated in the dust collecting bag 22 is raised, and harmful microbe in the dust and dirt, such as mite, etc., is killed by heat."
86,35952669,en,"PURPOSE:To prevent the lowering and the unevenness of lightness on the plane part of a light guide plate by providing reflecting members on the back surface and the front surface of the plane part close to the light source of the light transmission plate and the end surface of a side part. CONSTITUTION:In a fluorescent tube 17 being the light source, a reflection film is provided on the tube wall of the inner part of a glass tube and the plate-like light guide plate 6 is provided on an aperture part 5 having no coating film to be close to the aperture part 5, then the fluorescent tube 17 is arranged on one end surface of the plate 6. The plate 6 is made of a transparent material which little absorbs light and whose refractive index is larger than that of air. Especially, the reflecting members 1 and 2 are provided on the back surface and the front surface of the plane part close to the light source of the plate 6 and the end surface of the side part. Therefore, the light having a certain angle from the light source 17 is reflected by the members 1 and 2 provided on the back surface and the front surface close to the light source of the plate 6 and the end surface and made incident in the plate 6 again. Thus, the lowering and the unevenness of the lightness on the plane part of the plate 6 are prevented."
87,35952670,en,"PURPOSE:To provide an electrophotographic sensitive body having high sensitivity and excellent durability. CONSTITUTION:A photosensitive layer containing an azo compound represented by a formula is provided on a conductive base material. In the formula, A represents a coupler residue having acceptor property."
88,35952671,en,"PURPOSE:To easily and surely perform network management by automatically attaching a network address on a client device from which the network address is requested by address managing service. CONSTITUTION:An address managing server 10 stores the range of the network address to be attached on the client device, a host device name, and the network address in its own device as a pair of tables. The server 10 registers a new network address on the table of its own device when the attachment of the network address is requested from the client devices 12a-12e. Following that, the network address is notified to and attached on the devices 12a-12e from which a request is issued via a LAN transmission line 14. Thereby, the network address can automatically be attached."
89,35952672,en,"PURPOSE:To maintain a standard distance during electric power transmission and ensure the safe performance of chaplet or coating work by attaching drive enclosure axially to the tip of an insulated operating rod, then making the tip of a paint pressure feed hose communicate with a rotary brush and a base end with a paint pressure feed tank, and providing a remote sending part on the base end part. CONSTITUTION:If the base end part of an insulated operating rod 21 is grasped and a remote-sending switch 43 is operated, a signal is received by the remote-receiving part of a drive enclosure 22, resulting in the supply of an electric current to a motor from a battery 27. Thus foreign matter such as rust, dust or fat is removed from a surface to be coated by a chaplet brush 41 which rotates. In addition, if the remote- sending part 36 is operated, a signal is received by the remote-receiving part of the drive enclosure 22, resulting in the supply of an electric current to a motor from a battery 27 and the subsequent rotation of a rotary brush 28. Further, a paint is supplied to the rotary brush 28 through a paint pressure feed hose 31, a hose joint 33 and the paint pressure feed hose 31 from a paint pressure feed tank 30 by a signal from a signal line 35 connected to a paint pressure feed switch 42. Finally the paint is applied to the surface to be coated by the rotary brush 28 which rotates."
90,35952673,en,"PURPOSE: To improve the effect of an image layering/display device by storing successively the character information which are superposed on each other in a vertical flyback period against a specific part of the video signal that is recorded on a recording medium and then reading out these information to display them at an optional position on a display video screen according to the indication of a mouse. CONSTITUTION: The video signal and the character data which define the characters, graphics, etc., by a series of command signals are recorded on a video cassette 9 against a specific part or area of the video signal. These character data and various command signals are recorded on each other in a vertical flyback period of the video signal. Then a video reproducing device 7 reproduces the video signal recorded on the cassette 9. This reproduced signal is shown on a display screen 11a by a TV receiver 11. An imposing device 3 reads the character information and stores them successively in a storage means. Then the device 3 reads the character information out of the storage means according to the indication of a mouse 3 and synthesizes a formed image with the video signal to display them at an optional position on the screen 11a. Thus the images abundant in the effect can be displayed."
91,35952674,en,"PROBLEM TO BE SOLVED: To make even a small child or a user of wheelchair possible to easily purchase a desired train ticket by himself/herself. SOLUTION: This ticket issuing machine is provided with a lot of ticket purchase buttons 11 provided on a customer service face 2 for designating the desired ticket to be issued for a customer by being depressed, a fare display 10 for visibly displaying any buttons among these ticket purchase buttons 11 to be designated by the amount of inserted money, an indicating means 10A made to correspond to these buttons, a designation moving and indicating buttons (a designation advancing and indicating button 41A and a designation backing and indicating button 41B) and a designation fixing button 42 provided at sufficient lower positions under the group of ticket purchase buttons 11. In this case, while the fare display 10 displays that the purchase is enabled, any one displayed on the fare display 10 is indicated so as to be visually confirmed by depressing the designation moving and indication buttons 41A and 41B and each time the designation moving and indication buttons 41A and 41B are depressed again, the fare displays 10 are successively selected and indicated without being omitted. Corresponding to the depressing operation of the designation fixing button 10, the ticket corresponding to the fare display 10 designated at that time is issued."
92,35952675,en,"PROBLEM TO BE SOLVED: To prevent the manufacturing cost rise of a variable displacement scroll type compressor, while sufficiently ensuring closeness of an operation chamber. SOLUTION: Valve elements 13a and 13b for opening/closing bypass ports 11a and 11b are slidably arranged in the axial direction of a shaft 3, and also crowning parts 13c and 13d, protruded on an operation chamber V side with a curved surface drawn, are formed on the operation chamber V side out of the sliding direction end part of the valve elements 13a and 13b. When the bypass ports 11a and 11b are closed, the crowning parts 13c and 13d are contacted constantly with the tip part side 4c of the tooth part 4b of a movable scroll 4."
93,35952676,en,"PROBLEM TO BE SOLVED: To provide a resin compsn. which is suitable for covering material compsns. because of giving a cured substance with excellent wear-, heat-, weathering-resistances, durability, etc., and to provide the cured substance thereof. SOLUTION: This compsn. contains (A) a (meth)acrylate compd. selected from dicyclohexyl-4,4'-di(meth)acrylate and -tri(meth)acrylates expressed by the formula (wherein R1 is a hydrogen atom or methyl group), (B) a (meth) acrylate compd. except the component A, and (C) a photopolymerization initiator."
94,35952677,en,"PROBLEM TO BE SOLVED: To recognize individual links in a short time in one message exchange at every link without previously informing the link identification number of an opposite side and to considerably shorten the work time of able connection. SOLUTION: A communication controller 11 individually and previously sets link identification numbers to respective links in a link group, and stores the link identification numbers which are set for the respective links in link identification response messages and transmits them when a link identification request message is received from a communication controller 12. The communication controller 12 transmits the link identification request message for fetching link identification number. The link identification number for the respective links are taken out from the received link identification response message and they are stored. At the time of allocating and setting a communication channel with the communication controller 11 in negotiation by a common signal line, the stored link identification numbers for the respective links are taken out and are automatically identified."
95,35952678,en,"PROBLEM TO BE SOLVED: To provide an information distribution system that automatically transmits information required by many customers in optimum timing. SOLUTION: The information distribution system of this invention consists of a main system 1, a membership system 2 that is built up for enterprises and sales shops or the like, and a customer system 3 built up for customers, the enterprises and the sales shops or the like. The main system 1 and the membership system 2 are connected via the Internet 4 and the mail system 1 and the customer system 3 are also connected via the Internet 4. In the above information distribution system, a server 10 of the main system 1 is provided with a database and the members of the enterprises and the sales shops or the like register customer information to the database by using their own personal computer 14 and then the server 10 automatically distributes the information of contents matching the attributes of the customers to a mobile phone 16, a fixed phone 17, a facsimile terminal 18 and the personal computer 19 simultaneously in timing matching the attributes of the customer."
96,35952679,en,"PURPOSE:To stably obtain the titled substance in high yield, by using glycerylphosphocholine as a choline source and an acid halide, etc., of a short- chain water-soluble fatty acid as a fatty acid source and reacting the sources in a polar solvent in the presence of a dialkylaminopyridine catalyst. CONSTITUTION:Glycerylphosphocholine which is a deacylated product of natural phosphatidylcholine is used as a choline source and an acid halide or acid anhydride of a short-chain water-soluble fatty acid (e.g. acetic acid, butyric acid, caproic acid, etc.) is used as a fatty acid source. The objective compound can be produced by reacting the above sources in a polar solvent (preferably acetonitrile) in the presence of a dialkylaminopyridine catalyst (preferably N,N- dimethyl-4-aminopyridine) e.g. at 30-50 deg.C under gentle agitation for 24hr."
97,35952680,en,"PURPOSE:To improve the characteristics and manufacturing yield of a semiconductor memory by a method wherein a one transistor and one capacitor type memory cell comprising a capacitance element, which consists of a first electrode provided on the sidewall part of a groove through a first insulating film and a second electrode provided in opposition to the first electrode through a second insulating film, is constituted. CONSTITUTION:A MOSFET consisting of a gate electrode 2 and source, and drain regions 3 and 4 constitutes a transfer gate of a memory cell and this electrode 2 is used as a word line. The region 3 is connected to a bit line consisting of an Al wiring 8 and other region 4 on one side is connected to a capacitor (capacitance element). This capacitor is formed between a first electrode 7' and a P-type high-concentration impurity region 9 and between the electrode 7' and a second electrode 12 and a charge is stored in the electrode 7'. In case a P<-> on P<+> substrate is used, there is no need to form anew the region 9. The capacitance element having a double structure is provided on the sidewall part of a groove 5 and a capacity per the area of the main surface of a semiconductor substrate 1 is made large without deepening so much the depth of the groove 5."
98,35952681,en,"PURPOSE:To record a voice of accurate pitch frequency by calculating the distance between the feature quantity of a sounded voice and the feature quantity of a standard voice and recording the sounded voice only when the distance between the two feature quantities is sufficiently short. CONSTITUTION:The standard voice (b) of necessary accurate pitch frequency is generated by a standard voice generating circuit 3 and a voicing person hears it and utters a voice which is considered to have the same pitch. The uttered voice (d) is inputted to a voice feature quantity calculating circuit 6 through a microphone 5 and information (e) on the feature quantity of the voice is outputted to a recording permission signal generating circuit 7. At this time, similar information (c) on the standard voice (e) is calculated. The permission signal generating circuit 7 compares those pieces of information (e) and (c) to find the distance between the two feature quantities and a sound recording circuit 9 records the uttered voice (d) only when the distance between the feature quantities is smaller than a predetermined threshold value. Thus, the voice of accurate pitch frequency can be recorded."
99,35952682,en,"PURPOSE:To make it possible to surely kill harmful microbe in the whole dust collecting bag by a method wherein a dust collecting bag is pressed separatably in the direction to approach a straight line which connects a suction port and the suction side of an electrically operated fan. CONSTITUTION:Discharged air which becomes hot air by an electrically operated fan 31 is fed in a suction port 51 from an outlet 60 of the electrically operated fan 31, and circulated in a dust collecting bag 22 in a dust collecting chamber 18 from this suction port 51. Thus, circulating air stream, which starts from the electrically operated fan 31, passes through the dust collecting chamber 18 and returns to the electrically operated fan 31, is generated, and the temperature of the circulating air stream is further raised by passing through the electrically operated fan 31 repeatedly, and the temperature in the dust collecting chamber 18 is raised. In this case, since a section of the dust collecting bag 22, which is remote from an air passage from the suction port 51 to the electrically operated fan 31 is pushed nearer to the central axis (a) of the suction port 51, dust/dirt in this section is also easily exposed to the hot air. That is, since the whole dust collecting bag 22 is brought nearer to the passage of hot air from the suction port 51 to the electrically operated fan 31, the hot air can reach every corner inside of the dust collecting bag 22, and harmful microbe in the whole dust collecting bag 22 can be surely killed."
100,35952683,en,"PURPOSE:To correctly mark the defect position of a tested material by providing a marking control device, a timing control device, a width direction selecting circuit and a width direction driving device, and detecting the shape of the tested material. CONSTITUTION:The width direction position of a defect of a tested material 1 is detected by a signal processing circuit, the width direction position is selected by a width direction selecting circuit 13 selecting the width direction position of the defect section of the tested material 1 based on the output of the signal processing circuit 7, it is inputted to a width direction driving device 14, a ICH-marking gun 10 is driven in the width direction by the width direction driving device 14, and the defect position of the tested material 1 is correctly marked. The 1CH-marking gun 10 has a marking gun flexible section 15 and can be moved. If the cross section area of the tested material 1 is assumed to be about 153mm square, for example, the pattern of the gun 10 is 10mmphi, about (153+50)/10=20 can be marked for the width direction position when about 50 mm is considered for the curve and vibration of the tested material 1."
101,35952684,en,"PURPOSE:To carry out the subject efficient lubrication by using a mixed cooling medium consisting mainly of R-134a and R-22, as cooling media, and specific hydrocarbon compound and/or polyglycol as refrigerating machine oil. CONSTITUTION:In a compression refrigerating system made up of a compressor, condenser, expansion valve or capillary tube and evaporator, the objective lubrication is carried out using, a mixed cooling medium consisting mainly of 1,1,1,2-tetrafluorethane and chlorodifluoromethane and, as refrigerating machine oil, a hydrocarbon compound and/or polyglycol with the dynamic viscosity of 5-500cst at 40 deg.C and surface tension of >=8dyne/cm."
102,35952685,en,"PURPOSE:To prevent the generation of an error at the time of reading by discriminating the generation of a synchronous error in a corresponding sector at the time of reading by a synchronous error routine based on the value of the number of stored errors. CONSTITUTION:At the optical disk device provided with a CPU 21, a memory 25 for storing data error number and a synchronous error discrimination reference value memory 26, an unrecoverble error is generated when the specific sector of a recording medium is read, the number of data errors is counted each time a first reading and a retrial reading operation following this are carried out when the retrial reading operation is executed within a number of times set beforehand and it is stored in the data error number storing memory 25."
103,35952686,en,"PURPOSE:To ensure that a coating efficiency is increased, the thickness of a coat is uniform even on an uneven surface and a paint is not allowed to escape into an atmosphere by fixing a brush fitted internally into the other end of a movable cylinder using a fixed piece and a movable cylinder and providing a paint feed port between the first and the second axles of a static cylinder. CONSTITUTION:A rotary brush for coating 28 is installed a freely rotatable manner by fitting a first bearing 44 internally into one end of a static cylinder 41, fitting a second bearing 45 externally into the other end, and fitting one end of a movable cylinder 46 externally into the second bearing 45 and fixing the one end. In addition, the end of the rotary shaft 49 is fixed into the first bearing 44 in a freely rotatable manner by introducing a rotary shaft 49 through the static cylinder 41 and the movable cylinder 46. Further, a cylindrical brush 53 is fitted internally into the other end of the movable cylinder 46, and the brush 53 is fixed using a fixed piece 56 on the other end of the rotary shaft 49 fitted internally into the base of the brush 53 and the movable cylinder 46. A paint feed port 54 is provided between the first and the second bearing 44, 45 of the static cylinder 41. Consequently, if the rotary shaft 49 is rotated by a motor, the cylindrical brush 53 on the tip is driven to rotate, and the paint fed from the feed port 54 is applied by the brush."
104,35952687,en,"PURPOSE: To provide a magnet belt allowing magnet pieces to be fitted as dense as possible without a bolt protruding to the engaging face with a pulley and unlimited in the number of the engaging teeth of the pulley. CONSTITUTION: A magnet belt is constituted of belt base material 2 made of thermoplastic synthetic resin with one face provided with numerous engaging protrusions 3 to be engaged with a pulley, numerous magnet holding bodies 4 made of the same synthetic resin and rigidly fixed to the other face of the belt base material 2, yokes 5 fixed to the magnet holding bodies 4, and magnet pieces 6 fixed to the yokes 5. Each magnet holding body 4 is disposed in the overlapped position with the engaging protrusion 3 of the belt base material 2. A threaded cylinder 9 extended from the yoke 5 is provided in such a way as to pierce the magnet holding body 4 and belt base material 2 and to reach a thread receiving recession 11 formed at the engaging protrusion 3. A bolt 13 is screwed with the threaded cylinder 9 so that the head part recedes into the thread receiving recession 11, thus fixing the yoke 5 to the belt base material."
105,35952688,en,"PROBLEM TO BE SOLVED: To properly set controlling data without any influence of solar radiation when an engine is started by detecting a temperature in the vehicle interior when the engine is started and setting a predetermined value used as the controlling data for an air conditioner higher as the detected vehicle interior temperature is increased higher. SOLUTION: When an IG switch is turned on, respective output signals from an outside air temperature sensor 12, an inside air temperature sensor 13, and a water temperature sensor 14 are read into a controller 11, while it is determined whether a vehicle has been stopped or not If YES is determined, it is determined whether a detected temperature of the inside air temperature sensor 13 is higher than the predetermined value or not, and if the inside air temperature is 50 deg.C or more because of parking under severe solar radiation, for example, a preset value T1 compared with a water temperature TW is set to be the first preset value. On the other hand, NO is determined, the preset value T1 is set to be the second preset value which is smaller than the first preset value. The values TW, T1 are compared with each other, and if the water temperature TW is higher than the preset value T1, the outside air temperature detected when the IG switch is turned off just before an engine is stopped is used as controlling data for air conditioning."
106,35952689,en,"PROBLEM TO BE SOLVED: To prevent the corrugation break of a core paper from occurring by providing a vent hole in the top corrugated roll of a single facer. SOLUTION: A core paper 30 is caused to pass through the serrated parts 25, 26 of a top and a bottom corrugated roll 20, 21 with a corrugated outer peripheral face to form corrugations, and a liner paper 31 is bonded to one of the faces of the core paper with corrugations. In this device with the described operating function, numerous vent holes 27 or air suction holes are formed on the serrated part 25 of the top corrugated roll 20, so that the corrugation break of the core paper 30 is prevented from occurring by controlling an air flow. Alternatively, numerous vent holes 27 are opened in the root part of the serrated part 25 of the top corrugated roll 20 and at the same time, numerous air suction holes are opened in the root part of the serrated part 26 of the bottom corrugated roll 21."
107,35952690,en,"PROBLEM TO BE SOLVED: To provide a solar cell module terminal box device, wherein fitting to a solar cell module is performed easily without degrading a waterproof function, at a low cost with significantly reduced maintenance cost. SOLUTION: A terminal box lid unit 100 comprises a module connection cable 104a, a terminal plate 102a, a bypass diode 103, and a filler 105 packed over it at a lid 101. A terminal box lid unit 200 has a lead frame reception terminal 202a housed in a main body case 201, while provided with a waterproof sheet 203 inserted in a surrounding groove 206 and a waterproof wall 213a elected around a wiring hole 211a, and the terminal plate 102a and the lead frame reception terminal 202a are electrically connected to each other with the terminal box lid unit 100 fitted to the terminal box lid unit 200, while internal flooding is prevented by the waterproof sheet 203 and the waterproof wall 213a."
108,35952691,en,"PROBLEM TO BE SOLVED: To solve such a problem that the cover capable of opening and closing the upper and side surfaces of an apparatus body must be opened and closed after a sorter or a double side unit is moved when the processing of jamming is performed in such a state that the sorter or double-side unit is connected to the upper and side surfaces of the apparatus body in constitution such that a paper discharge route is opened by making the cover openable and closable and much labor is required in the processing of jamming and the mechanism of the apparatus itself becomes complicated. SOLUTION: In a sheet discharge apparatus equipped with a paper discharge tray 14 provided in the upper part of a printer body 1 and loaded with discharged sheets, a paper discharge roller pair 13 discharging the sheets to the paper discharge tray 14 and the paper discharge route 30 reaching the paper discharge roller pair 13, the paper discharge cover 15 openable and closable with respect to the printer body 1 is provided under the discharge roller pair 13 and the paper discharge route 30 is opened when the cover 15 is opened."
109,35952692,en,"NEW MATERIAL:A compound expressed by formula I {R1 represents lower alkyl; A represents formula II [R2 and R3 represent lower alkyl; R4 represents (substituted) lower alkyl, formulae III-V (R5 represents lower alkyl; R6 represents hydroxy lower alkyl or COOH), etc.]} and salt thereof. EXAMPLE:7beta-[2-(5-Amino-1, 2, 4-thiadiazol-3-yl)-(Z)-2-methoxyiminoacetamide]-3- [(E)-3-(carbamoylmethylammonio)-1-propen-1-yl]-3- cephem-4-carboxylate. USE:An antibacterial agent against Gram-positive bacteria and Gram-negative bacteria (Pseudomonas aeruginosa). PREPARATION:A compound expressed by formula VI (X represents halogen atom) or the compound (salt) wherein the amino group and the carboxyl group thereof are protected is reacted with a compound (salt) expressed by formula A' (A' represents formula VII), followed by elimination of the protecting group, if necessary."
110,35952693,en,"PURPOSE:To augment a color filter in its resolution feature by a method wherein a flattened layer is caused to contain a yellow dye in a solidstate color image pickup element wherein photoelectric conversion-capable photodetecting sections are provided on a semiconductor substrate and color filters are located through the intermediary of a flattening layer at photodetecting spots corresponding to the photodetecting sections. CONSTITUTION:A color mixing preventing layer 6 is formed on a flattened layer 5 containing a yellow dye built on an aluminum light-stopping film 4. Formed together with the color mixing preventing layer 6 on the flattened layer 5 are a magenta dye layer 7, a cyanine dye layer 8, and a yellow dye layer 9. The yellow dye for the flattened layer 5 is so selected as to absorb 'g' rays (436nm) emitted by a stepper light source and to transmit far ultraviolet rays (250nm). This choice prevents random reflection that may otherwise be caused by the aluminum light-stopping layer 5 in a color filter patterning process. Far ultraviolet rays are applied to prevent the exposure time from being too long in the formation of through-holes in the flattened layer 5. A transparent high-polymer resin film is used for the flattening layer 5 and for the color mixing prevent layer 6."
111,35952694,en,"PURPOSE:To record a voice of accurate pitch frequency by calculating a feature quantity such as the pitch frequency of a sounded voice and displaying the calculated feature quantity of the voice. CONSTITUTION:A standard sound (b) of necessary accurate pitch frequency is generated by a standard sound generating circuit 3 and a voicing person hears it and utters a voice which is considered to have the same pitch. The uttered voice (d) is inputted to a voice feature quantity calculating circuit 6 through a microphone 5 and information (e) on the feature quantity of the voice is displayed on a feature quantity display screen 7. The voicing person confirms the displayed feature quantity visually to judge whether or not the voice having the necessary pitch frequency is made. When the voice is made at the necessary pitch frequency, a switch 8 is closed to input the voice (d) to a sound recording circuit 9, which records the voice."
112,35952695,en,"PURPOSE:To reduce labor of mounting a lamp socket and electrical connections and simplify proper selection of light distribution according to the environment by coupling the connector part of lamp socket to the connector proper of an illuminating apparatus body by means of direct connection. CONSTITUTION:By means of direct connection, the connector part 35 of a lamp socket 31 is coupled with the connector proper 21 provided at the end face of an illuminating apparatus body 11. Accordingly the lamp socket 31 can be mounted on the apparatus body 11 simply, and the lighting device 30 of the apparatus body 11 can be connected to the lamp socket 31 electrically. This process reduces labors for mounting the lamp socket 31 and electrical connections, and further such a lamp socket 31 as constructed according to the required light distribution can be selectively mounted on the apparatus body 11. Thus the light distribution can be selected simply."
